name,smiles,max_phase,atc,disease
METHOXYFLURANE,COC(F)(F)C(Cl)Cl,4.0,N02BG09,CNS (other)
VILAZODONE,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,4.0,N06AX24,Depression
OPIPRAMOL,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,3.0,N06AA05,Depression
MODAFINIL,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,4.0,N06BA07,Cognition/ADHD
CANNABIDIOL,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,4.0,N03AX24,Epilepsy
ALFAXALONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,2.0,N01AX05,CNS (other)
TROFINETIDE,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,4.0,N07XX24,Other CNS
COCAINE,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,4.0,N01BC01;R02AD03;S01HA01;S02DA02,CNS (other)
BREXANOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.0,N06AX29,Depression
PIMOZIDE,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,4.0,N05AG02,Psychosis
TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,4.0,N03AX11,Epilepsy
SAFINAMIDE,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,4.0,N04BD03,Parkinson's
AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,4.0,N05AL05,Psychosis
ESKETAMINE,CN[C@]1(c2ccccc2Cl)CCCCC1=O,4.0,N01AX14;N06AX27,Depression
BETHANECHOL,CC(C[N+](C)(C)C)OC(N)=O,4.0,N07AB02,Other CNS
PERICIAZINE,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,4.0,N05AC01,Psychosis
TRIHEXYPHENIDYL,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.0,N04AA01,Parkinson's
FIPEXIDE,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,4.0,N06BX05,Cognition/ADHD
TOFISOPAM,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,2.0,N05BA23,Anxiety
FLUPIRTINE,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,4.0,N02BG07,CNS (other)
IDEBENONE,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,4.0,N06BX13,Cognition/ADHD
HYDROMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,4.0,N02AA03,CNS (other)
ALMOTRIPTAN,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,4.0,N02CC05,CNS (other)
ESCITALOPRAM,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,4.0,N06AB10,Depression
ELETRIPTAN,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,4.0,N02CC06,CNS (other)
LEVOMETHADYL ACETATE,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,4.0,N07BC03,Other CNS
ZALEPLON,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,4.0,N05CF03,CNS (other)
ESZOPICLONE,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,4.0,N05CF04,CNS (other)
MILNACIPRAN,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,4.0,N06AX17,Depression
BUPRENORPHINE,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,4.0,N02AE01;N07BC01;N07BC51,Other CNS
MEPARFYNOL,C#CC(C)(O)CC,2.0,N05CM15;N05CX03,CNS (other)
CHLORAL HYDRATE,OC(O)C(Cl)(Cl)Cl,4.0,N05CC01,CNS (other)
PYRITINOL,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,4.0,N06BX02,Cognition/ADHD
