pmid,pmcid,doi,title,journal,year,open_access_fulltext,named_drugs,holding_potentials,potency_values_in_tables,score,retrieval
35277491,PMC8917200,10.1038/s41467-022-28808-5,Structural basis for modulation of human Na<sub>V</sub>1.3 by clinical drug and selective antagonist.,Nat Commun,2022,True,"flecainide, quinidine, veratridine",,3,9,read here
33503406,PMC7980221,10.1016/j.molcel.2020.12.048,A tamoxifen receptor within a voltage-gated sodium channel.,Mol Cell,2021,True,"lamotrigine, lidocaine, tetrodotoxin",,3,9,read here
28045073,PMC5206724,10.1038/srep39662,Insensitivity to pain induced by a potent selective closed-state Nav1.7 inhibitor.,Sci Rep,2017,True,"bupivacaine, lidocaine, pf-05089771, tetrodotoxin",,1,9,read here
39248322,PMC11558128,10.1002/advs.202406656,Optimizing Nav1.7-Targeted Analgesics: Revealing Off-Target Effects of Spider Venom-Derived Peptide Toxins and Engineering Strategies for Improvement.,Adv Sci (Weinh),2024,True,tetrodotoxin,,7,9,read here
36975198,PMC10112885,10.7554/elife.84151,Cryo-EM reveals an unprecedented binding site for Na<sub>V</sub>1.7 inhibitors enabling rational design of potent hybrid inhibitors.,Elife,2023,True,"pf-05089771, tetracaine",,5,9,read here
39175503,PMC11338814,10.3389/fncel.2024.1380442,Donepezil as a new therapeutic potential in KCNQ2- and KCNQ3-related autism.,Front Cell Neurosci,2024,True,"amitriptyline, carbamazepine, tetrodotoxin",,3,9,read here
41918303,PMC13058929,10.3344/kjp.26057,"Suzetrigine: a novel allosteric voltage-gated sodium 1.8 channel inhibitor, thereby stabilizing the closed state of the channel.",Korean J Pain,2026,True,"carbamazepine, lidocaine, tetrodotoxin",,2,8,read here
40741712,PMC12582983,10.1002/2211-5463.70091,Blocking the voltage-gated sodium channel hNa&lt;sub&gt;v&lt;/sub&gt;1.5 as a novel pH-dependent mechanism of action for tamoxifen.,FEBS Open Bio,2025,True,"flecainide, lacosamide, lidocaine, ranolazine",,0,8,read here
40465624,PMC12168006,10.1073/pnas.2413811122,The analgesic paracetamol metabolite AM404 acts peripherally to directly inhibit sodium channels.,Proc Natl Acad Sci U S A,2025,True,"bupivacaine, lidocaine, tetrodotoxin",,2,8,read here
40566541,PMC12194696,10.3390/life15060888,Voltage-Gated Ion Channels in Neuropathic Pain Signaling.,Life (Basel),2025,True,"carbamazepine, tetrodotoxin, vixotrigine",,2,8,read here
