inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
MKFGDBFFGQCOGU-FQEVSTJZSA-N,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(O)c2c1OC(C)(C)C=C2,COCONUT,CNP0342343.1,coverage,True,422.48,5.203,96.22,3,6,3,2,0.32,0.588
NLTOTZSPOYWSSP-LJQANCHMSA-N,CC(C)=CCc1cc([C@H]2CC(=O)c3ccc(O)cc3O2)ccc1O,COCONUT,CNP0255953.2,coverage,True,324.38,4.313,66.76,2,4,3,2,0.25,0.826
KCIUHPNLNSGZBY-CKRLVEJWSA-N,COc1cc(O)c2c(c1)O[C@H](c1ccc(OC)c(O)c1C/C=C(\C)CCC=C(C)C)CC2=O,COCONUT,CNP0130331.1,coverage,True,452.55,6.057,85.22,2,6,8,2,0.37,0.474
NFENYLPEYDNIMO-HNNXBMFYSA-N,O=C1C[C@@](O)(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,COCONUT,CNP0182920.1,coverage,True,288.26,1.614,107.22,4,6,1,2,0.133,0.635
VSJCDPYIMBSOKN-CABCVRRESA-N,O=C1c2ccc(O)cc2O[C@@H](c2cc(O)c(O)c(O)c2)[C@@H]1O,COCONUT,CNP0275146.2,coverage,True,304.25,1.186,127.45,5,7,1,2,0.133,0.501
CXIZZLWYTVCYIE-ZWKOTPCHSA-N,CC1(C)C=Cc2c(cc(O)c3c2O[C@H](c2ccc(O)cc2)[C@@H](O)C3=O)O1,COCONUT,CNP0158559.1,coverage,True,354.36,2.959,96.22,3,6,1,2,0.25,0.729
QNKSZZRDFRCBNL-SFHVURJKSA-N,COc1cc(OC)c2c(c1CC=C(C)C)O[C@H](c1ccc3c(c1)OCO3)CC2=O,COCONUT,CNP0326837.1,coverage,True,396.44,4.648,63.22,0,6,5,2,0.348,0.686
YXGBQKBRCDLZMP-VQFGERMISA-N,COc1cc(O)c(C[C@H](O)C(C)(C)OC)c(O)c1C(=O)/C=C/c1ccc(O)cc1,COCONUT,CNP0291234.1,coverage,True,402.44,3.037,116.45,4,7,8,2,0.318,0.396
XSZOOYSZBJIXTE-UHFFFAOYSA-N,CCC(=O)Oc1cc(-c2oc3cc(OC)c(OC)c(OC(=O)CC)c3c(=O)c2OC)ccc1OC,COCONUT,CNP0250590.0,coverage,True,486.47,4.125,119.73,0,10,9,3,0.32,0.322
YLYJXNTZVUEFJZ-DODNOZFWSA-N,COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(OC)cc3c2=O)cc1,COCONUT,CNP0288471.1,coverage,True,460.44,0.656,148.05,4,10,6,3,0.348,0.413
