inchikey,canonical_smiles,source,source_id,role,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AXOIZCJOOAYSMI-UHFFFAOYSA-N,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,DrugBank,DB00202,evaluation,False,290.4,0.265,52.6,0,4,9,0,0.857,0.452
BNRNXUUZRGQAQC-UHFFFAOYSA-N,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,DrugBank,DB00203,evaluation,False,474.59,1.611,113.42,1,7,7,3,0.5,0.553
IXTMWRCNAAVVAI-UHFFFAOYSA-N,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,DrugBank,DB00204,evaluation,False,441.58,1.983,104.81,2,6,11,2,0.368,0.553
WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,DrugBank,DB00205,evaluation,False,248.72,2.524,77.82,2,4,2,2,0.167,0.856
QEVHRUUCFGRFIF-MDEJGZGSSA-N,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,DrugBank,DB00206,evaluation,False,608.69,4.171,117.78,1,10,8,3,0.515,0.374
MQTOSJVFKKJCRP-BICOPXKESA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,DrugBank,DB00207,evaluation,False,749.0,1.901,180.08,5,14,7,0,0.974,0.238
PHWBOXQYWZNQIN-UHFFFAOYSA-N,Clc1ccccc1CN1CCc2sccc2C1,DrugBank,DB00208,evaluation,False,263.79,3.96,3.24,0,2,2,2,0.286,0.793
OYYDSUSKLWTMMQ-JKHIJQBDSA-N,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,DrugBank,DB00209,evaluation,False,392.52,3.77,46.53,1,3,4,2,0.48,0.636
LZCDAPDGXCYOEH-UHFFFAOYSA-N,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,DrugBank,DB00210,evaluation,False,412.53,6.681,46.53,1,2,4,3,0.393,0.52
PTKSEFOSCHHMPD-UHFFFAOYSA-N,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,DrugBank,DB00211,evaluation,False,254.29,-0.188,93.81,3,5,6,1,0.417,0.654
