endpoint,split,n,folds,n_positive,n_decoy,n_measured_inactive_train,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,mcc_mean,f1_mean,balanced_acc_mean,recorded_scaffold_cv_auroc,rerun_minus_recorded
OPRM1,scaffold,14872,10,3718,10971,183,0.9974211187069336,0.0019838545284060452,0.9940891202115845,0.0036243322001213423,0.9459664164211704,0.9586332410169845,0.9643607334015482,0.997,0.00042111870693362086
OX1,random,13248,10,3312,9879,57,0.9998380599435042,0.00012283727381976744,0.9995543928410651,0.00032173163882964604,0.9897267969226459,0.9922377395970668,0.9929058633337047,0.999,
OX1,scaffold,13248,10,3312,9879,57,0.9985236166177242,0.001909790389423491,0.9964340125230302,0.004853935146070594,0.9675368628071975,0.9749002261855999,0.9765269990563258,0.999,-0.00047638338227584676
OX2,random,15408,10,3852,11544,12,0.9996340212675305,0.00029815597665684425,0.9990232673561946,0.0007909218975857604,0.9840574066557514,0.9879303744309897,0.9889229829251255,0.999,
OX2,scaffold,15408,10,3852,11544,12,0.9989431419676518,0.0014823396010931265,0.9977268023172906,0.0022736743705324327,0.9542895014979349,0.9643575689056609,0.9668573771198469,0.999,-5.685803234822817e-05
P2X7,random,11752,10,2938,8793,21,0.9995207697767972,0.0004472580030670692,0.9978263961415127,0.0036606791035223487,0.979098785027511,0.9840959576666066,0.9853657018095919,0.998,
P2X7,scaffold,11752,10,2938,8793,21,0.998990595894595,0.000944149249555379,0.9962795799038359,0.0047129111338380615,0.9562634852263328,0.9656577210881945,0.968291537402993,0.998,0.0009905958945950477
PDE10A,random,16336,10,4084,12222,30,0.9995269564368383,0.0002426983918667815,0.998827696003395,0.0005512328714767421,0.9831642966068447,0.9873339136413952,0.9901646190394615,0.999,
PDE10A,scaffold,16336,10,4084,12222,30,0.999041480637041,0.0005120879781328605,0.9977357878397346,0.0008855990720185849,0.9705117720276751,0.9778364412575566,0.9815426412773643,0.999,4.148063704101368e-05
PDE4B,random,4512,10,1128,3271,113,0.9968786552775646,0.0023557856992312285,0.993818239974207,0.0031112030832632313,0.9626906260420947,0.9716567735250262,0.9768204133907844,0.993,
PDE4B,scaffold,4512,10,1128,3271,113,0.9937952156965079,0.006061420167538852,0.9869630647245622,0.00969928534694472,0.9035070158898162,0.9223797476798286,0.9332361019475546,0.993,0.0007952156965078672
RIPK1,random,5960,10,1490,4111,359,0.998025614461811,0.0014033610727219698,0.9963467931547128,0.002333884207750848,0.9740268498897084,0.9801122440637003,0.9809843400447427,0.997,
RIPK1,scaffold,5960,10,1490,4111,359,0.9967679608507286,0.0028858055364006027,0.993944703055375,0.00548793480661697,0.9472218554304893,0.9586117079210439,0.9610400211731094,0.997,-0.00023203914927139024
SERT,random,12112,10,3028,9012,72,0.997549079632439,0.0016386544511737542,0.993899783962329,0.0032433009868137602,0.9542735155829088,0.9655637017080314,0.9751729162107214,0.994,
SERT,scaffold,12112,10,3028,9012,72,0.9934063360352138,0.004258928437500174,0.9830431974672411,0.011312698847427537,0.914324358135022,0.9340615610093469,0.9484900885404091,0.994,-0.0005936639647862174
SIRT1,random,515,10,162,0,353,0.9173018790849673,0.039244371676286444,0.8535392049211236,0.06509469071598635,0.6598780037972023,0.7701448087456277,0.8399317226890757,0.893,
SIRT1,scaffold,515,10,162,0,353,0.903977047887976,0.06674923037636746,0.8406642924336125,0.08066558320707398,0.6201800613448192,0.7369249985130554,0.8082734449454791,0.893,0.010977047887975933
Sigma1,random,7712,10,1928,5762,22,0.9956117791265106,0.0019541047506387186,0.9895483611669549,0.003913842075784713,0.9250284426132769,0.9437072292275493,0.9636935783342597,0.987,
Sigma1,scaffold,7712,10,1928,5762,22,0.988797886735046,0.005820870452374297,0.9721319481093298,0.01414604602865023,0.8759935704277858,0.9052752952485419,0.930242351976281,0.987,0.0017978867350459948
TAAR1,random,303,10,238,0,65,0.8257677708764666,0.05399180079402796,0.950173513387689,0.014334478879014158,0.40776798504644607,0.8737206795761783,0.7038043478260869,0.79,
TAAR1,scaffold,303,10,238,0,65,0.7877624621755056,0.09653709573360288,0.9334813507815506,0.04364533206268878,0.33444358295714977,0.8487067431271857,0.6735685486011573,0.79,-0.002237537824494429
a3b4nAChR,random,792,10,198,501,93,0.9942710377639014,0.007825281531394232,0.987177241491383,0.015826865948679623,0.9286054461233195,0.945426533475314,0.9604854296758847,0.981,
a3b4nAChR,scaffold,792,10,198,501,93,0.990515071073987,0.006689391128913217,0.9761645827744271,0.013193895785070233,0.7898349062659498,0.8138189074586435,0.861364469749933,0.981,0.00951507107398697
a4b2nAChR,random,1904,10,476,1355,73,0.9940174811204179,0.004497080284309139,0.9828392424670698,0.01355613576541737,0.9278999227861482,0.9455404004629976,0.9628776353004701,0.985,
a4b2nAChR,scaffold,1904,10,476,1355,73,0.9846576847984242,0.014504959476236569,0.9544184261688015,0.04420799023482973,0.8656267591880166,0.88820123137913,0.9199349302563604,0.985,-0.00034231520157579354
a7nAChR,random,1348,10,337,921,90,0.9893974691586805,0.0141816106490581,0.9746941726617668,0.028820343084106723,0.8938621563468724,0.9163272690408378,0.9322104269250454,0.983,
a7nAChR,scaffold,1348,10,337,921,90,0.985025960709897,0.01760257343648634,0.9619469280872645,0.04359578234348467,0.8321531053862701,0.8568895620074006,0.8896557684374289,0.983,0.0020259607098970234
mGluR5,random,4800,10,1200,3571,29,0.9981875,0.0015910056004561082,0.9946657910608019,0.004860034828181048,0.9598921049436049,0.9695819939600521,0.9761111111111112,0.995,
mGluR5,scaffold,4800,10,1200,3571,29,0.9959765329547796,0.004499873190725469,0.9882089633904,0.0130135402665534,0.9103920811312903,0.9291733799819342,0.9401996830697987,0.995,0.0009765329547796187
mTOR,random,11936,10,2984,8764,188,0.9990687383360001,0.0010529312313717362,0.9984220068112263,0.0012401587483103656,0.9847999251592483,0.9885426953628885,0.9909531303019709,0.999,
mTOR,scaffold,11936,10,2984,8764,188,0.998804330438831,0.0015969789777795908,0.9974368360240412,0.002853147741781786,0.9665236295089581,0.9741258284371481,0.9768055660498067,0.999,-0.00019566956116900958
