endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
plasma_protein_binding,regression,random,6,1617,180,,,,,,0.49632309823913445,12.726002037139114,8.562731775946794,0.7050961982751401
plasma_protein_binding,regression,random,7,1617,180,,,,,,0.49416962812915644,13.633038050219913,9.00453279941355,0.6687542672223679
plasma_protein_binding,regression,random,8,1618,179,,,,,,0.485924747274475,14.846740381112518,9.768942620291465,0.6806826127108464
plasma_protein_binding,regression,random,9,1618,179,,,,,,0.442495883560587,12.806254652387839,8.632858161080069,0.6785445076550025
plasma_protein_binding,regression,random,10,1618,179,,,,,,0.4637435890772389,11.684618124362835,7.356143755751288,0.6931511929811188
plasma_protein_binding,regression,scaffold,1,1617,180,,,,,,0.37390417174183965,12.794493170379996,8.171800129083366,0.595192555450676
plasma_protein_binding,regression,scaffold,2,1617,180,,,,,,0.4837725958617949,16.883648905955855,11.48172049509082,0.7271965444867362
plasma_protein_binding,regression,scaffold,3,1617,180,,,,,,0.4958308153696519,13.558919148084938,9.253756687593787,0.7041710612036258
plasma_protein_binding,regression,scaffold,4,1617,180,,,,,,0.3039368721363336,14.104851336881158,9.523341872942382,0.5876180525204086
plasma_protein_binding,regression,scaffold,5,1617,180,,,,,,0.2461464751774629,14.862728074097125,10.196542156895052,0.5917310634699212
plasma_protein_binding,regression,scaffold,6,1617,180,,,,,,0.45939550100799775,11.760306281571197,8.361849071304722,0.6159537785162834
plasma_protein_binding,regression,scaffold,7,1617,180,,,,,,0.5138127827876973,10.994213157181438,7.72354327024673,0.685710611726298
plasma_protein_binding,regression,scaffold,8,1618,179,,,,,,0.2964684311233371,14.118731235471694,9.197636508017121,0.6099286741698496
plasma_protein_binding,regression,scaffold,9,1618,179,,,,,,0.26165668064964165,15.739969649750206,10.047860754364091,0.6329816623535258
plasma_protein_binding,regression,scaffold,10,1618,179,,,,,,0.305220970119642,15.959036189471865,10.306924314962398,0.6385131305843526
clearance_hepatocyte,regression,random,1,918,102,,,,,,0.2186855692197106,49.8994322079703,36.700406114341355,0.5832353604979069
clearance_hepatocyte,regression,random,2,918,102,,,,,,0.2751697845382095,46.77267527658742,34.32185873826971,0.6026334236025938
clearance_hepatocyte,regression,random,3,918,102,,,,,,0.2490412695551837,43.506571628697884,31.97123612453723,0.5351663266688172
clearance_hepatocyte,regression,random,4,918,102,,,,,,0.4279561895056333,35.900372609492265,27.606881123260365,0.6454753232093935
clearance_hepatocyte,regression,random,5,918,102,,,,,,0.3398139276479616,36.49423002851245,27.31883510341511,0.5406568032114192
clearance_hepatocyte,regression,random,6,918,102,,,,,,0.23290213237026358,45.92368423118685,33.70430073049227,0.5205506876390091
clearance_hepatocyte,regression,random,7,918,102,,,,,,0.10828926968447727,45.81530330256364,35.41900144791121,0.3710038200973417
clearance_hepatocyte,regression,random,8,918,102,,,,,,0.07356497035639287,53.11342418997779,42.083921806604785,0.4149086140490287
clearance_hepatocyte,regression,random,9,918,102,,,,,,0.20344795312733466,36.302281641444125,28.51263526893586,0.44882807230816824
clearance_hepatocyte,regression,random,10,918,102,,,,,,0.1733623470091732,43.912671127428396,33.67257119131051,0.4226131981305787
clearance_hepatocyte,regression,scaffold,1,918,102,,,,,,0.237831176429382,40.54790031586989,31.852957237265276,0.46571961235964354
clearance_hepatocyte,regression,scaffold,2,918,102,,,,,,0.1681899813460278,44.201139333714416,35.25100467484131,0.4334343164728256
clearance_hepatocyte,regression,scaffold,3,918,102,,,,,,0.22344697814760273,40.96776786598941,31.06261509713144,0.4120121276956917
clearance_hepatocyte,regression,scaffold,4,918,102,,,,,,0.10523781715885572,49.21781625952983,37.75143136229239,0.42048684286138227
clearance_hepatocyte,regression,scaffold,5,918,102,,,,,,0.16096082741776108,47.46861797697726,37.23692283034594,0.4103331586316533
clearance_hepatocyte,regression,scaffold,6,918,102,,,,,,0.20929889686428216,44.265317567766346,31.93254457958799,0.4911815953372297
clearance_hepatocyte,regression,scaffold,7,918,102,,,,,,0.24789238995299534,44.54722273924584,33.83544719252516,0.42167138083349703
clearance_hepatocyte,regression,scaffold,8,918,102,,,,,,0.13655298179529474,51.02445761750849,40.55013325922535,0.3452994605883664
clearance_hepatocyte,regression,scaffold,9,918,102,,,,,,0.21783819607254595,45.094197597311265,34.68305018157769,0.4888640938588526
clearance_hepatocyte,regression,scaffold,10,918,102,,,,,,0.22589371032476624,45.466472810391956,36.1251461706585,0.41595406921662414
