endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,5364,596,149,,0.9974325480834197,0.9922167475305982,0.9598309932614759,0.9698996655518395,0.9809843400447428,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,5364,596,149,,0.9950302538924674,0.9926503848782502,0.9821014619663552,0.9863945578231292,0.9865771812080537,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,5364,596,149,,0.9971773043256309,0.9920138238126377,0.9504812538754709,0.9621993127147767,0.9675615212527964,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,5364,596,192,396.0,0.9950495049504949,0.9952789613478704,0.9654458944750325,0.9761273209549072,0.9779290429042904,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,5364,596,173,399.0,0.9971986498858962,0.9930273595829863,0.9429702834523104,0.9580838323353293,0.9612457125678131,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,5364,596,105,402.0,0.988885656095432,0.9559606429029881,0.9477983600773405,0.9569377990430622,0.9721171564348754,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,5364,596,121,403.0,0.9884297520661157,0.9734084243196333,0.9423584746186139,0.9531914893617022,0.9607046541974772,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,5364,596,155,403.0,0.9942067149440421,0.9833520186349258,0.9564040670031454,0.967741935483871,0.9782020335015726,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,5364,596,171,403.0,0.9975232198142415,0.9935549087088853,0.8968851281851288,0.9226006191950464,0.9321431028551772,5960,1490,4019,451
RIPK1,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,5364,596,136,404.0,0.9937420076726342,0.9819289881691656,0.8394596260890782,0.8641975308641975,0.8838554987212277,5960,1490,4019,451
