endpoint,panel,mode,split,fold,n_train,n_test,n_positive_test,n_scaffolds_test,roc_auc,pr_auc,mcc,f1,balanced_acc,n_total,n_positive,n_decoy,n_measured_inactive_train
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,5,1264,140,35,,0.9975510204081632,0.9941558441558442,0.9428090415820634,0.9552238805970149,0.9571428571428571,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,6,1264,140,35,,1.0,1.0,1.0,1.0,1.0,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,7,1264,140,35,,1.0,1.0,0.9809506363438459,0.9855072463768116,0.9857142857142858,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,8,1264,140,35,,1.0,1.0,0.9809506363438459,0.9855072463768116,0.9857142857142858,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,9,1264,140,35,,1.0,1.0,1.0,1.0,1.0,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,random,10,1264,140,35,,0.9994557823129251,0.9984555984555985,0.9236942184372011,0.9393939393939394,0.9428571428571428,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,1,1263,141,45,103.0,1.0,1.0,1.0,1.0,1.0,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,2,1263,141,39,107.0,1.0,1.0,1.0,1.0,1.0,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,3,1263,141,39,107.0,1.0,1.0,0.9822928170822647,0.987012987012987,0.9871794871794872,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,4,1263,141,34,109.0,1.0,1.0,0.9806127202874448,0.9850746268656716,0.9852941176470589,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,5,1264,140,28,109.0,1.0,1.0,0.9551338658818386,0.9629629629629629,0.9642857142857143,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,6,1264,140,40,110.0,1.0,1.0,0.982520500882025,0.9873417721518988,0.9875,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,7,1264,140,34,110.0,0.9933407325194229,0.986764705882353,0.9416317031812649,0.9538461538461539,0.9558823529411764,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,8,1264,140,32,111.0,1.0,1.0,0.9594032236002469,0.967741935483871,0.96875,1404,351,1037,16
Cav3_2,Binder classifier,hybrid_decoys_plus_measured_inactives,scaffold,9,1264,140,28,111.0,1.0,0.9999999999999999,0.9551338658818386,0.9629629629629629,0.9642857142857143,1404,351,1037,16
