endpoint,task,split,fold,n_test,n_train,n_scaffolds_test,positives_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
MAO_A,classification,random,1,223,2005,167,90.0,0.9294068504594822,0.9225570259912373,0.7090707481539518,0.8187134502923976,0.8475355054302423,,,,
MAO_A,classification,random,2,223,2005,166,91.0,0.933150183150183,0.894431375234735,0.6745903098082003,0.8066298342541437,0.8367049617049618,,,,
MAO_A,classification,random,3,223,2005,160,91.0,0.9468864468864469,0.918820562546322,0.7385918019493816,0.8390804597701149,0.8632201132201132,,,,
MAO_A,classification,random,4,223,2005,154,91.0,0.9214119214119214,0.9081353053226101,0.6258549486058385,0.7727272727272727,0.8092324342324342,,,,
MAO_A,classification,random,5,223,2005,166,91.0,0.943140193140193,0.9380248227798529,0.7670864055974936,0.8554913294797688,0.8762903762903763,,,,
MAO_A,classification,random,6,223,2005,163,91.0,0.9576257076257076,0.9499152766998696,0.7667837436211521,0.8587570621468926,0.8797036297036297,,,,
MAO_A,classification,random,7,223,2005,165,91.0,0.9776057276057276,0.9660309409098671,0.8521329163985579,0.9130434782608695,0.9274475524475525,,,,
MAO_A,classification,random,8,223,2005,167,91.0,0.93989343989344,0.9230569991311454,0.7014123703120567,0.8202247191011236,0.848068598068598,,,,
MAO_A,classification,random,9,222,2006,163,90.0,0.9557239057239058,0.9456389246940359,0.7937807631235296,0.872093023255814,0.8901515151515151,,,,
MAO_A,classification,random,10,222,2006,173,90.0,0.9619528619528619,0.9568195605982317,0.7861454517158459,0.8622754491017964,0.8810606060606061,,,,
MAO_A,classification,scaffold,1,223,2005,82,107.0,0.8569932323557847,0.8564878552225064,0.5334128726977718,0.7195767195767195,0.7574121817595875,,,,
MAO_A,classification,scaffold,2,223,2005,82,109.0,0.9047963946563656,0.8629279352354022,0.6061149365792232,0.7904761904761904,0.8017865765330758,,,,
MAO_A,classification,scaffold,3,223,2005,82,107.0,0.8095391556558169,0.8424476933399071,0.41822564464770096,0.6373626373626373,0.697752175314212,,,,
MAO_A,classification,scaffold,4,223,2005,83,75.0,0.9497297297297297,0.8881686576812206,0.733901593573041,0.8115942028985508,0.8496846846846847,,,,
MAO_A,classification,scaffold,5,223,2005,83,68.0,0.7938330170777989,0.7441787529983109,0.5598168779890933,0.6774193548387096,0.7636622390891841,,,,
MAO_A,classification,scaffold,6,223,2005,83,77.0,0.8724426258672834,0.814154459583758,0.47934107481726346,0.6624203821656051,0.7417719267034335,,,,
MAO_A,classification,scaffold,7,223,2005,83,99.0,0.8835125448028673,0.8773761119617794,0.6068446432281178,0.7884615384615384,0.8052704463994786,,,,
MAO_A,classification,scaffold,8,223,2005,83,107.0,0.8872462133419272,0.8897894957128321,0.6610310193879915,0.8118811881188119,0.8271430873348373,,,,
MAO_A,classification,scaffold,9,222,2006,83,87.0,0.8875266070668371,0.8485584571662173,0.5679906706309064,0.7058823529411765,0.7659003831417625,,,,
MAO_A,classification,scaffold,10,222,2006,83,71.0,0.8319653017442403,0.7384406196160294,0.4715587656893494,0.6201550387596899,0.7220874918384479,,,,
MAO_B,classification,random,1,367,3298,252,247.0,0.9602564102564102,0.9814193640235223,0.743786482312223,0.9178356713426854,0.8677294197031039,,,,
MAO_B,classification,random,2,367,3298,241,248.0,0.954086473298997,0.9779696959503895,0.7715721350964533,0.9249492900608519,0.8882488479262672,,,,
MAO_B,classification,random,3,367,3298,236,248.0,0.950426944971537,0.9764441727610571,0.66917198408434,0.8980392156862745,0.8230380862022229,,,,
MAO_B,classification,random,4,367,3298,247,248.0,0.9440905394415832,0.9735308468787105,0.7078124809887747,0.9098039215686274,0.8416915153158038,,,,
MAO_B,classification,random,5,367,3298,239,248.0,0.9481566820276497,0.974310209205431,0.7551993840710417,0.9221556886227545,0.8732888316616969,,,,
MAO_B,classification,random,6,366,3299,248,247.0,0.9611131902153573,0.9818015513414659,0.727010872466969,0.9151873767258383,0.8519885687068349,,,,
MAO_B,classification,random,7,366,3299,231,247.0,0.967645357738237,0.9837031905635689,0.824401327859575,0.9437751004016064,0.908481611267989,,,,
MAO_B,classification,random,8,366,3299,240,247.0,0.946892117170755,0.9734228004478486,0.7475071698665497,0.9203187250996016,0.8667709998979349,,,,
MAO_B,classification,random,9,366,3299,245,247.0,0.9600755281869833,0.9801687063068094,0.7288537002093608,0.9141716566866267,0.8585207362297145,,,,
MAO_B,classification,random,10,366,3299,242,247.0,0.9521314598713979,0.9761414977498395,0.7281222168361248,0.9145129224652088,0.8563433470554214,,,,
MAO_B,classification,scaffold,1,367,3298,116,256.0,0.9338400900900902,0.9663504537280898,0.7006706513964293,0.9072978303747534,0.8546241554054055,,,,
MAO_B,classification,scaffold,2,367,3298,119,240.0,0.8493766404199475,0.8798460331143685,0.6320886747438565,0.8731808731808732,0.8154527559055118,,,,
MAO_B,classification,scaffold,3,367,3298,119,253.0,0.9397406559877957,0.9718897975408436,0.6927539000768865,0.9124767225325885,0.8131370917412107,,,,
MAO_B,classification,scaffold,4,367,3298,121,231.0,0.8693181818181819,0.9075841844132027,0.6311635038739996,0.8713692946058091,0.8038101604278074,,,,
MAO_B,classification,scaffold,5,367,3298,121,265.0,0.9076951535331114,0.966187354578834,0.6197431734249238,0.8854368932038835,0.8223455419903811,,,,
MAO_B,classification,scaffold,6,366,3299,120,215.0,0.8514708147235485,0.8972523844809859,0.5534039404406101,0.8038740920096852,0.7800862467272447,,,,
MAO_B,classification,scaffold,7,366,3299,120,267.0,0.9057239057239057,0.9592695159419302,0.6560900729730877,0.9060150375939849,0.8300987402110998,,,,
MAO_B,classification,scaffold,8,366,3299,120,228.0,0.8816584032545132,0.916917720247288,0.5844102292282798,0.8559670781893004,0.7749809305873379,,,,
MAO_B,classification,scaffold,9,366,3299,120,262.0,0.856283029947152,0.9296732182605956,0.5748890878550695,0.8868274582560297,0.7734145625366999,,,,
MAO_B,classification,scaffold,10,366,3299,120,257.0,0.9000821047370864,0.9493275002034823,0.6168171235619545,0.8970588235294118,0.7774604647842074,,,,
hERG,classification,random,1,588,5287,512,243.0,0.9391065783980438,0.9272179059951469,0.7310541520712738,0.8269662921348314,0.8525138665235283,,,,
hERG,classification,random,2,588,5287,516,243.0,0.9599451303155007,0.9509648660898942,0.8070890629494629,0.8812095032397408,0.8965646806226516,,,,
hERG,classification,random,3,588,5287,504,243.0,0.9600882686228902,0.949254111739961,0.7856773877548102,0.8682505399568035,0.8860440150295223,,,,
hERG,classification,random,4,588,5287,498,243.0,0.9588000238563845,0.9461253512543646,0.7898915189718845,0.868995633187773,0.8862766147790302,,,,
hERG,classification,random,5,588,5287,506,243.0,0.958811952048667,0.9529326678291049,0.8030772735683787,0.8803418803418803,0.8963320808731436,,,,
hERG,classification,random,6,587,5288,495,242.0,0.9521739130434783,0.9335130393162101,0.7814112329028033,0.8702928870292888,0.8891723559707749,,,,
hERG,classification,random,7,587,5288,504,242.0,0.9485447358965146,0.937436990123627,0.7423196215278965,0.8463157894736842,0.8689124446041443,,,,
hERG,classification,random,8,587,5288,523,243.0,0.953356780553163,0.9446482891695067,0.7423949677550464,0.8450106157112527,0.867313857785434,,,,
hERG,classification,random,9,587,5288,505,243.0,0.9527227485883817,0.9357539280876154,0.7672664078283576,0.8607594936708861,0.8805089003732414,,,,
hERG,classification,random,10,587,5288,506,243.0,0.9578428557756723,0.9389022383199717,0.7601432003282363,0.8559322033898306,0.8763936740357929,,,,
