endpoint,skeleton,n_stereoisomers,labels_disagree,potency_gap_log_units
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,2,False,0.68
A2A,CC(Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCCC(C)(F)C1,2,False,0.28
A2A,COCC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,2,False,0.78
A2A,CC(C)(C)OC(=O)NC1CCN(C(=O)c2nc(NCc3cncc(F)c3)nc3ccsc23)C1,2,False,0.0
A2A,Cc1cc(-c2sc(NC(=O)N3CCOC(CO)C3)nc2-c2cccc(C#N)c2)cc(C)n1,2,False,0.48
A2A,CC(C)(O)c1ccc(C2CC(c3nc4c5cc(F)cc(F)c5nc(N)n4n3)C2)nc1,2,False,0.36
A2A,COCC1CCN(C(=O)c2nc(NC(C)c3ccccn3)nc3ccsc23)C1,2,False,0.0
A2A,CCCCCC(O)C#Cc1nc(NCC)c2ncn(C3OC(C(=O)NCC)C(O)C3O)c2n1,2,False,0.16
A2A,Nc1nc(NC2CCCC2O)nc2c1ncn2C1OC(CO)C(O)C1O,2,False,0.36
A2A,Cc1cc(-c2sc(NC(=O)N3CCNC(C#N)C3)nc2-c2cccc(C#N)c2)cc(C)n1,2,False,0.26
A2A,CC1CCN(C(=O)c2nc(NC(C)c3cccnc3)nc3ccsc23)C1,2,False,0.0
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(N5CCN(C)CC5)nc4)C3)nc21,2,False,0.12
A2A,Cc1cnc2ccc(-c3nc(C(=O)NCC4CCOC4)c(N)nc3-c3ncco3)cn12,2,False,0.36
A2A,CNc1cc2nc(NC(C)c3cccnc3)nc(C(=O)N3CCC(F)C3)c2s1,2,False,0.0
A2A,COc1cccc2c1nc(N)n1nc(C3CC(c4ccc(C(N)C(F)(F)F)cn4)C3)nc21,2,False,0.3
A2A,OC1CSC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C1O,2,False,0.96
A2A,COc1ccc2c(c1)nc(N)n1nc(C3CC(C)CN(c4cnn(C(C)(C)CO)c4)C3)nc21,2,False,0.52
A2A,CCn1nnc(C2OC(n3cnc4c(N)nc(NC(C)Cc5ccccc5)nc43)C(O)C2O)n1,2,False,0.27
A2A,CCn1cc(C2(O)CCCC(c3nc4c5cc(F)c(OC)cc5nc(N)n4n3)C2)cn1,2,False,0.04
A2A,CC(Nc1nc(C(=O)N2CCC(NC(=O)OC(C)(C)C)C2)c2sccc2n1)c1cccnc1,2,False,0.6
A2A,CC1CN(CCc2nc3c4ccc5c(c4nc(N)n3n2)OC(F)(F)O5)CC(C)O1,2,False,0.09
A2A,Cc1cc(-c2c(-c3ccccc3)nc(N)n3c(=O)n(CC4CC(F)CN4)nc23)cc(C)n1,3,False,0.5
A2A,COc1cc2nc(N)n3nc(C4CCCN(c5cn(CS(C)(=O)=O)nc5C)C4)nc3c2cc1F,2,False,0.53
A2A,CC(Nc1nc(C(=O)N2CCC(O)C2)c2sccc2n1)c1cccc(F)c1,2,False,0.0
A2A,COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N3CCCCC3C)cnc21,2,False,0.15
A2A,Cc1cc(-c2sc(NC(=O)N3CCNC(C(C)(C)O)C3)nc2-c2cccc(C#N)c2)cc(Cl)n1,2,False,1.22
A2A,COc1cccc2c1nc(N)n1nc(C3CCCN(c4cnn(C(C)C(C)(C)O)c4)C3)nc21,2,False,0.3
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(Cc5ccccc5)C(=O)O)cc4)nc32,2,False,0.27
A2A,CC(NC(=O)c1nc(N)nc2c(F)cccc12)c1cccc2cccnc12,2,False,1.27
A2A,COc1cccc2c1nc(N)n1nc(C3CCOC(c4cnn(C)c4)C3)nc21,2,False,0.24
A2A,CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)NC(Cc5c[nH]c6ccccc56)C(=O)O),2,False,0.25
A2A,CC(Nc1nc(C(=O)N2CCC(CO)C2)c2sccc2n1)c1cccnc1,2,False,0.0
A2A,CC(Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCCC(F)(F)C1,2,False,0.02
A2A,CC(NC(=O)c1nc(-c2ccc3ncccc3c2)c(-c2ccccc2)nc1N)c1ncccn1,2,False,0.12
