endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
BACE1,classification,random,9,7387,820,0.9866453195085071,0.9979216082743032,0.7960568039735795,0.9725158562367865,0.8965107561722512,,,,
BACE1,classification,random,10,7387,820,0.9782843492293423,0.9965101232417115,0.8035664277004257,0.9731638418079096,0.9048145465634887,,,,
BACE1,classification,scaffold,1,7386,821,0.9535479632063074,0.995801760790105,0.6750791748250341,0.9756418696510862,0.8451927288655279,,,,
BACE1,classification,scaffold,2,7386,821,0.9578927441382481,0.9930904875872422,0.6934449476948772,0.9617258176757133,0.8452754414906564,,,,
BACE1,classification,scaffold,3,7386,821,0.9587475300197598,0.9935648700619515,0.7543000522535355,0.9741496598639455,0.8619623043015656,,,,
BACE1,classification,scaffold,4,7386,821,0.9589393905012593,0.9922432672465038,0.6473506978090654,0.9460819554277499,0.8205200934897547,,,,
BACE1,classification,scaffold,5,7386,821,0.9725922968018297,0.9922387900458367,0.8130854906740689,0.9596899224806201,0.9184802337822631,,,,
BACE1,classification,scaffold,6,7386,821,0.9833448275862069,0.9970867976634565,0.8014466247066042,0.9681159420289855,0.9158850574712644,,,,
BACE1,classification,scaffold,7,7386,821,0.9724679029957204,0.9949757287688161,0.7800807694684682,0.9662113587347232,0.9043152639087018,,,,
BACE1,classification,scaffold,8,7387,820,0.9655697823303456,0.9944708948632746,0.7312440873197161,0.9641097818437719,0.864212548015365,,,,
BACE1,classification,scaffold,9,7387,820,0.967891697877653,0.9941918498867796,0.8186143990404097,0.9769713886950454,0.8943508114856429,,,,
BACE1,classification,scaffold,10,7387,820,0.9572143067288696,0.9937215398514063,0.6450746294633823,0.9577854671280277,0.8182728813796776,,,,
GSK3B,classification,random,1,4895,544,0.9620747846167511,0.986326711186193,0.7403500089871854,0.9331683168316832,0.871906918909317,,,,
GSK3B,classification,random,2,4895,544,0.970263788968825,0.990865655105526,0.8005719304444141,0.949569495694957,0.8974065192290612,,,,
GSK3B,classification,random,3,4895,544,0.973248068212097,0.9909816168753979,0.7820682156042431,0.9445129469790382,0.8901056932231992,,,,
GSK3B,classification,random,4,4895,544,0.9658920539730136,0.9879549117601778,0.7560911656449901,0.9406060606060606,0.8655136717355608,,,,
GSK3B,classification,random,5,4895,544,0.9689797958163775,0.9892706272113575,0.7661334917866689,0.943030303030303,0.8703683872349539,,,,
