name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier
MEMANTINE HYDROCHLORIDE,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,63.0,74.0,56.0,54.0,45.0,47.0,silver
PIOGLITAZONE HYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,74.0,55.0,57.0,46.0,53.0,silver
AVAGACESTAT,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,74.0,65.0,58.0,79.0,58.0,75.0,silver
SUVOREXANT,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,71.0,67.0,58.0,81.0,55.0,74.0,silver
CARBIDOPA,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,71.0,53.0,49.0,38.0,41.0,silver
DEXTROMETHORPHAN HYDROBROMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,silver
FLORBETAPIR F 18,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,75.0,62.0,62.0,79.0,56.0,70.0,silver
VELUSETRAG,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,70.0,66.0,58.0,80.0,57.0,69.0,silver
ICOSAPENT ETHYL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,64.0,58.0,75.0,62.0,68.0,silver
UDENAFIL,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,74.0,62.0,63.0,78.0,58.0,71.0,silver
CERLAPIRDINE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,53.0,82.0,59.0,72.0,silver
PRAMIPEXOLE DIHYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,silver
GEMFIBROZIL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,72.0,63.0,58.0,80.0,55.0,71.0,silver
ADENOSINE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,60.0,61.0,56.0,57.0,45.0,50.0,silver
IDAZOXAN,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,72.0,63.0,58.0,79.0,57.0,70.0,silver
BROMOCRIPTINE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,74.0,66.0,60.0,81.0,57.0,71.0,silver
FLUCONAZOLE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,68.0,63.0,54.0,79.0,57.0,71.0,silver
ISOTRETINOIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,61.0,80.0,59.0,71.0,silver
LORAZEPAM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,70.0,67.0,53.0,79.0,60.0,66.0,silver
ROPINIROLE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,60.0,60.0,54.0,60.0,54.0,40.0,43.0,silver
ESTRADIOL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,70.0,65.0,62.0,79.0,55.0,65.0,silver
LAMIVUDINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,69.0,65.0,59.0,82.0,59.0,76.0,silver
MEDROXYPROGESTERONE ACETATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,68.0,66.0,60.0,78.0,58.0,67.0,silver
"LIPOIC ACID, ALPHA",,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,68.0,64.0,57.0,80.0,54.0,71.0,silver
ITRACONAZOLE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,72.0,62.0,50.0,80.0,59.0,71.0,silver
