inchikey,canonical_smiles,name,BBB_label,BBB_pchembl,AChE_label,AChE_pchembl,BChE_label,BChE_pchembl,BACE1_label,BACE1_pchembl,GSK3B_label,GSK3B_pchembl,MAO_A_label,MAO_A_pchembl,MAO_B_label,MAO_B_pchembl,D2_label,D2_pchembl,A2A_label,A2A_pchembl,HT2A_label,HT2A_pchembl,SERT_label,SERT_pchembl,hERG_label,hERG_pchembl,antioxidant_pIC50,n_endpoints_measured,role,sources,clinical_max_phase,atc,disease,is_flavonoid_core,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,qed
AARLSAHQVGPBSH-UHFFFAOYSA-N,CC1(c2ccc(F)cc2)NC(=O)N(CC(O)CN2CCN(Cc3ccccc3)CC2)C1=O,,,,,,,,,,,,,,,,0.0,4.7,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,440.52,1.771,76.12,2,5,7,2,0.417,0.642
AARMPADYPUTMDB-IQVBETABSA-N,Cc1cccc(S(=O)(=O)N2CCN[C@@H]([C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(=O)c3cc(C(=O)N[C@H](C)c4ccccc4)cc(N4CCCCS4(=O)=O)c3)C2)c1,,,,,,,,1.0,8.55,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,809.96,4.059,165.22,4,8,12,4,0.35,0.167
AARUDAJTDANRJK-UHFFFAOYSA-N,CN(C)C(=O)Oc1cccc(-c2cn3c(C(F)(F)F)cccc3[n+]2C)c1,,,,0.0,4.47,,,,,,,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,364.35,3.51,37.83,0,2,2,3,0.222,0.653
AARWRAFDYZSYPD-UHFFFAOYSA-N,Cc1c(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)nnn1Cc1ccccc1,,,,,,,,,,,,,,,,1.0,7.63,,,1.0,8.13,,,,,,2,training_label,ChEMBL_37,,,,False,501.46,4.274,66.29,1,5,9,3,0.4,0.444
AARWZLCCVAYIQN-UHFFFAOYSA-N,CCOc1ccc(F)cc1C1CC1CNCCCSc1nnc(-c2ccccc2)n1C,,,,,,,,,,,,,,,,1.0,6.18,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,440.59,4.895,51.97,1,5,11,3,0.417,0.34
AASBFJIEFSDMGW-VHPWLNBFSA-N,COC(CN1CCc2sc(OCC(F)(F)F)nc2C1)[C@H]1CC[C@H](NC(=O)c2cccc3nn(C)cc23)CC1,,,,,,,,,,,,,,,,1.0,6.57,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,551.64,4.333,81.51,1,7,8,3,0.577,0.449
AASZBVWGEDIXLX-UHFFFAOYSA-N,CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCC(F)F)ccn1,,,,,,,,,,1.0,8.74,,,,,,,,,,,,,,,,1,training_label,ChEMBL_37,,,,False,364.35,2.967,93.21,2,5,7,2,0.294,0.788
AASZEODWFQQIRF-UHFFFAOYSA-N,Fc1ccc(C(OCCN2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,,,,,,,,,,,,,,,,,,,,,,1.0,7.44,,,,1,training_label,ChEMBL_37,,,,False,436.55,4.931,15.71,0,3,9,3,0.333,0.473
AATCVLWFSZDJGG-UHFFFAOYSA-N,CSc1ccc(Oc2ccncc2CN(C)C)cc1Cl,,,,,,,,,,,,,,,,,,,,,,1.0,8.3,,,,1,training_label,ChEMBL_37,,,,False,308.83,4.311,25.36,0,4,5,2,0.267,0.769
AATJHIFTVCAMGM-UHFFFAOYSA-N,O=C(c1ccc2cc(Oc3ccc(F)cn3)ccc2n1)N1CCNCC1,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.77,,1,training_label,ChEMBL_37,,,,False,352.37,2.607,67.35,1,5,3,3,0.211,0.785
