inchikey,smiles,cid
TVZGACDUOSZQKY-UHFFFAOYSA-N,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,2154
NTJOBXMMWNYJFB-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,2159
SGRYPYWGNKJSDL-UHFFFAOYSA-N,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,2161
HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2162
OVCDSSHSILBFBN-UHFFFAOYSA-N,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2165
QWGDMFLQWFTERH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,2170
LSNWBKACGXCGAJ-UHFFFAOYSA-N,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,2176
MTXSIJUGVMTTMU-UHFFFAOYSA-N,c1cncc(C2CCCCN2)c1,2181
YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2187
ZXNRTKGTQJPIJK-UHFFFAOYSA-N,COc1ccc(C(=O)N2CCCC2=O)cc1,2196
XRCFXMGQEVUZFC-UHFFFAOYSA-N,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,2197
NUZWLKWWNNJHPT-UHFFFAOYSA-N,O=C1c2c(O)cccc2Cc2cccc(O)c21,2202
ZGLXUQQMLLIKAN-UHFFFAOYSA-N,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,2203
VEQOALNAAJBPNY-UHFFFAOYSA-N,Cc1cc(=O)n(-c2ccccc2)n1C,2206
DFYRUELUNQRZTB-UHFFFAOYSA-N,COc1cc(C(C)=O)ccc1O,2214
VMWNQDUVQKEIOC-UHFFFAOYSA-N,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2215
BLUAFEHZUWYNDE-UHFFFAOYSA-N,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,2240
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)O,2244
GXDALQBWZGODGZ-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,2247
METKIMKYRPQLGS-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,2249
PIXJURSCCVBKRF-UHFFFAOYSA-N,CC(C)(C)c1o[nH]c(=O)c1CC(N)C(=O)O,2253
