# WHAT THIS FILE CONTAINS: Every one of 161,812 distinct training structures as a row, with the 12 named physicochemical descriptors as columns and a count of how many of the 1024 fingerprint bits it sets. 2 structures could not be parsed by RDKit and are absent.
# WHAT IT IS USED FOR: Seeing the chemical space the models were fitted over, at a width that opens in a spreadsheet.
# GENERATED FROM: data/endpoints/ featurised by src/brainsafe/features/featurize.py
smiles,ecfp4_bits_set,mw,clogp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,fraction_csp3,ring_count,heavy_atoms,formal_charge,qed
Br.c1ccc(N2CCN(CCCCCNC3=Nc4ccccc4OC3)CC2)cc1,45,378.52,3.6911,40.1,1.0,5.0,7.0,2.0,0.4347826,4.0,28.0,0.0,0.7461976
Br.c1ccc2c(c1)CCN(CCCc1nc3ccccc3s1)C2,39,308.45,4.2872,16.13,0.0,3.0,4.0,3.0,0.31578946,4.0,22.0,0.0,0.7146589
Br.c1nc(CCCS/C(=N\C2CCCC2)NC2CCCCC2)c[nH]1,44,334.533,4.2964,53.07,2.0,3.0,6.0,1.0,0.7777778,3.0,23.0,0.0,0.46324944
Br.c1ncc(CN2CCCNCCNCCCNCC2)nc1CN1CCCNCCNCCCNCC1,31,504.772,-0.7942,104.44,6.0,10.0,4.0,1.0,0.84615386,3.0,36.0,0.0,0.31250164
BrC(Br)Br,4,252.731,2.4547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.5812778
BrC1=NOC2(C1)CN1CCC2C1.O=C(O)/C=C/C(=O)O,31,231.093,1.1894,24.83,0.0,3.0,0.0,0.0,0.875,3.0,12.0,0.0,0.6251183
BrC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,38,395.385,4.3007,15.71,0.0,3.0,7.0,1.0,0.7,3.0,24.0,0.0,0.50581646
BrC1NC=CN1,11,148.991,0.3289,24.06,2.0,2.0,0.0,0.0,0.33333334,1.0,6.0,0.0,0.3826853
Brc1c(NC2=NCCN2)ccc2nccnc12,35,292.14,1.7634,62.2,2.0,5.0,1.0,2.0,0.18181819,3.0,17.0,0.0,0.8405283
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,35,351.292,4.0712,41.05,1.0,4.0,4.0,1.0,0.75,4.0,21.0,0.0,0.88784707
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,23,397.896,3.1544,36.42,2.0,1.0,1.0,1.0,0.22222222,2.0,15.0,0.0,0.7633591
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,28,397.896,3.3452,36.42,2.0,3.0,1.0,1.0,0.22222222,2.0,15.0,0.0,0.7621026
Brc1cc(Br)cc(C2=NCCCC2)c1,24,317.024,4.1846,12.36,0.0,1.0,1.0,1.0,0.36363637,2.0,14.0,0.0,0.73658425
Brc1cc(Br)cc([C@H]2C[C@@H](CN3CCCC3)N2Cc2ccccc2Br)c1,41,543.141,6.3855,6.48,0.0,2.0,5.0,2.0,0.42857143,4.0,26.0,0.0,0.43204987
Brc1cc(Br)n2ncnc(NC3=NC[C@@]4(CN5CCC4CC5)O3)c12,51,456.142,2.5168,67.05,1.0,6.0,1.0,2.0,0.53333336,6.0,24.0,0.0,0.71508414
Brc1cc(CN2CCCCC2)cc(Br)c1OCCCN1CCCCC1,33,474.281,5.4523,15.71,0.0,3.0,7.0,1.0,0.7,3.0,25.0,0.0,0.4891808
Brc1cc(N2CC[C@@H]3CN[C@@H]3C2)cnc1Br,36,347.054,2.4047,28.16,1.0,3.0,1.0,1.0,0.54545456,3.0,16.0,0.0,0.7913266
Brc1cc(N2CC[C@H]3CN[C@H]3C2)cnc1Br,36,347.054,2.4047,28.16,1.0,3.0,1.0,1.0,0.54545456,3.0,16.0,0.0,0.7913266
Brc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(-c2ccccc2)c1,36,358.279,4.7779,21.26,1.0,2.0,3.0,2.0,0.36842105,4.0,22.0,0.0,0.852851
